,start_time,end_time,p_values
366,1369113836.944336,1369113844.251953,0.0
367,1369114578.398438,1369114586.575195,0.0
368,1369114988.61377,1369114995.815185,0.0
369,1369115298.282837,1369115306.206665,0.0
370,1369116860.457032,1369116870.689575,0.0
371,1369116873.86377,1369116882.926269,0.0
372,1369116970.695313,1369116977.895019,0.0
373,1369117083.351807,1369117090.923828,0.0
374,1369117175.7417,1369117183.353027,0.0
375,1369117961.039063,1369117970.541992,0.0
376,1369118101.819825,1369118110.014648,0.0
377,1369118124.803711,1369118131.900634,0.0
378,1369118279.982422,1369118287.317871,0.0
379,1369119282.65625,1369119290.988281,0.0
380,1369119863.850586,1369119874.163086,0.0
381,1369120397.468506,1369120407.793213,0.0
382,1369121343.147217,1369121353.794922,0.0
383,1369121431.101807,1369121438.652343,0.0
384,1369121950.321045,1369121960.960937,0.0
385,1369122031.152832,1369122038.790039,0.0
386,1369122283.070313,1369122294.77832,0.0
387,1369122696.946289,1369122704.020141,0.0
388,1369123368.664063,1369123376.052734,0.0
389,1369124177.768067,1369124186.029785,0.0
390,1369124499.38086,1369124507.941162,0.0
391,1369124803.320313,1369124811.033203,0.0
392,1369125107.822266,1369125117.324951,0.004103
393,1369125157.010743,1369125167.690429,1.0
394,1369125783.16626,1369125790.609375,1.0
395,1369126006.643555,1369126016.063476,1.0
396,1369126100.34961,1369126107.651611,0.998691
397,1369126153.470459,1369126163.391601,0.986669
398,1369126528.332276,1369126541.35791,1.0
399,1369126725.720215,1369126732.861694,1.0
400,1369127476.896485,1369127484.234375,0.002462
401,1369127814.263672,1369127823.397705,0.0
402,1369128256.576172,1369128265.693359,0.0
403,1369128415.705567,1369128423.003906,0.0
404,1369130106.648438,1369130114.572265,0.68842
405,1369131217.165284,1369131225.148437,1.0
406,1369131241.735352,1369131251.382812,0.949617
407,1369131513.837647,1369131521.983886,0.443689
408,1369132574.601563,1369132583.208496,0.0
409,1369132899.749024,1369132907.844848,1.0
410,1369133327.104493,1369133334.288574,1.0
411,1369133349.332032,1369133356.738769,0.873504
412,1369133394.412842,1369133401.523437,1.0
413,1369139594.709961,1369139606.52539,1e-06
414,1369139608.507813,1369139616.492187,1e-06
415,1369140121.5,1369140130.75,0.0
416,1369140131.25,1369140138.398437,0.910444
417,1369140140.636719,1369140150.175781,1e-06
418,1369140220.164429,1369140239.375,0.0
419,1369140463.765076,1369140476.625,0.0
420,1369140476.75,1369140490.200805,0.0
421,1369140513.088868,1369140521.364013,0.0
422,1369143218.210938,1369143225.651123,0.0
423,1369143679.615235,1369143692.124023,0.0
424,1369143805.773926,1369143814.203125,0.0
425,1369143951.914307,1369143958.919677,0.0
426,1369144010.821289,1369144018.635742,0.0
427,1369144169.923767,1369144178.282226,0.0
428,1369144311.96875,1369144321.802734,0.0
429,1369144853.76709,1369144861.350463,0.0
430,1369145020.581055,1369145027.75,0.0
431,1369145047.329102,1369145055.352539,0.0
432,1369145149.277344,1369145156.296875,0.0
433,1369145550.132813,1369145557.828125,0.0
434,1369145811.767578,1369145819.938964,0.0
435,1369146047.727539,1369146055.441894,0.0
436,1369146084.5,1369146092.875,0.0
